,Titulo,Autor,NotaMedia,Rango,NumVotos,NumCriticas,Genero,Editorial,AñoEdicion,Resumen
0,LAS LEGIONES MALDITAS,"POSTEGUILLO, SANTIAGO","8,64",Muy bueno,1.284,176,Histórica y aventuras,EDICIONES B,2008,"La historia de las legiones que desafiaron a Aníbal. Publio Cornelio Escipión, conocido por el apodo de Africanus, era considerado por muchos el heredero de las cualidades militares atribuidas a su padre y a su tío. Pero de ellos no sólo había recibido estos magníficos atributos, sino también alguno...
										
									"
1,TORMENTA DE ESPADAS. (CANCIÓN DE HIELO Y FUEGO 3),"MARTIN, GEORGE R.R.","8,58",Muy bueno,2.440,121,"Fantástica, ciencia ficción",GIGAMESH,2006,"Las huestes de los fugaces reyes de Poniente, descompuestas en hordas, asuelan y esquilman una tierra castigada por la guerra e indefensa ante un invierno que se anuncia inusitadamente crudo. Las alianzas nacen y se desvanecen como volutas de humo bajo el viento helado del Norte. Ajena a las intriga...
										
									"
2,JUEGO DE TRONOS. (CANCIÓN DE HIELO Y FUEGO 1),"MARTIN, GEORGE R.R.","8,47",Muy bueno,3.286,228,"Fantástica, ciencia ficción",GIGAMESH,2011,"Tras el largo verano, el invierno se acerca a los Siete Reinos. Lord Eddard Stark, señor de Invernalia, deja sus dominios para unirse a la corte del rey Robert Baratheon el Usurpador, hombre díscolo y otrora guerrero audaz cuyas mayores aficiones son comer, beber y engendrar bastardos. Eddard Stark...
										
									"
3,AFRICANUS. El hijo del cónsul,"POSTEGUILLO, SANTIAGO","8,47",Muy bueno,1.414,196,Histórica y aventuras,EDICIONES B,2008,"A finales del siglo III a. C., Roma se encontraba al borde de la destrucción total, a punto de ser aniquilada por los ejércitos cartagineses al mando de uno de los mejores estrategas militares de todos los tiempos: Aníbal. Su alianza con Filipo V de Macedonia, que pretendía la aniquilación de Roma c...
										
									"
4,LOS MISERABLES,VÍCTOR HUGO,"8,46",Muy bueno,1.522,182,Clásicos de la literatura,AUSTRAL,2012,"«Novela, por supuesto, pero también es Historia; historia de los acontecimientos que cambian la faz del mundo, historia social, historia de las mentalidades. Sin olvidar, la dimensión poética, el aliento épico que insufla a la mayoría de sus capítulos. Con ello, el héroe, Jean Valjean, se convierte...
										
									"
5,EL PADRINO,"PUZO, MARIO","8,45",Muy bueno,1.118,105,"Novela negra, intriga, terror",EDICIONES B,2009,"La publicación de El Padrino en 1969 supuso una convulsión en el mundo literario. Por primera vez, la Mafia protagonizaba una novela y era retratada desde dentro con acierto y verosimilitud. Mario Puzo la presentaba no como una mera asociación de facinerosos, sino como una compleja sociedad con una...
										
									"
6,EL CONDE DE MONTECRISTO,"DUMAS, ALEJANDRO (Alexandre Dumas)","8,41",Muy bueno,1.737,160,Histórica y aventuras,DEBOLSILLO,2009,"Un clásico de enorme poder de sugestión, a través de la figura del hombre solitario que, luego de sobrevivir a la injusta condena y la miserable prisión, regresa para hacer justicia. Retrato de época, romántico, crítico y social, por un genio del siglo XIX.
										
									"
7,PATRIA,"ARAMBURU, FERNANDO","8,41",Muy bueno,1.572,331,Narrativa,TUSQUETS,2016,"El día en que ETA anuncia el abandono de las armas, Bittori se dirige al cementerio para contarle a la tumba de su marido el Txato, asesinado por los terroristas, que ha decidido volver a la casa donde vivieron. ¿Podrá convivir con quienes la acosaron antes y después del atentado que trastocó su vid...
										
									"
8,EL TEMOR DE UN HOMBRE SABIO,"ROTHFUSS, PATRICK","8,39",Muy bueno,1.899,145,"Fantástica, ciencia ficción",PLAZA & JANÉS,2011,"Músico, mendigo, ladrón, estudiante, mago, héroe y asesino. Kvothe es un personaje legendario, el héroe o el villano de miles de historias que circulan entre la gente. Todos le dan por muerto, cuando en realidad se ha ocultado con un nombre falso en una aldea perdida. Allí simplemente es el taciturn...
										
									"
9,MIL SOLES ESPLÉNDIDOS,"HOSSEINI, KHALED","8,39",Muy bueno,1.844,303,Ficción literaria,SALAMANDRA,2007,"El libro cuenta la conmovedora historia de amistad entre dos mujeres afganas de orígenes muy dispares, cuyos destinos se entrelazan por obra del azar y de las convulsiones que ha sufrido Afganistán en los últimos treinta años. Hija ilegítima de un rico hombre de negocios, Mariam se cría con su madre...
										
									"
10,EL SEÑOR DE LOS ANILLOS III. El Retorno del Rey,"TOLKIEN, J.R.R. (John Ronald Reuel Tolkien)","8,3",Muy bueno,2.727,55,"Fantástica, ciencia ficción",MINOTAURO,2006,"Los ejércitos del Señor Oscuro van extendiendo cada vez más su maléfica sombra por la Tierra Media. Hombres, elfos y enanos unen sus fuerzas para presentar batalla a Sauron y sus huestes. Ajenos a estos preparativos, Frodo y Sam siguen adentrándose en el país de Mordor en su heroico viaje para destr...
										
									"
11,CIEN AÑOS DE SOLEDAD,"GARCÍA MÁRQUEZ, GABRIEL","8,27",Muy bueno,4.604,404,Literatura contemporánea,ALFAGUARA,2007,"«Muchos años después, frente al pelotón de fusilamiento, el coronel Aureliano Buendía había de recordar aquella tarde remota en que su padre lo llevó a conocer el hielo.» Con estas palabras empieza una novela ya legendaria en los anales de la literatura universal, una de las aventuras literarias más...
										
									"
12,1984,"ORWELL, GEORGE","8,26",Muy bueno,4.136,312,Literatura contemporánea,DEBOLSILLO,2018,"Inquietante interpretación futurista basada en la crítica a los totalitarismos y a la opresión del poder, situada en 1984 en una sociedad inglesa dominada por un sistema de ""colectivismo burocrático"" controlada por el Gran Hermano. Londres, 1984: Winston Smith decide rebelarse ante un gobierno total...
										
									"
13,COMETAS EN EL CIELO,"HOSSEINI, KHALED","8,26",Muy bueno,1.978,263,Ficción literaria,SALAMANDRA,2006,"Sobre el telón de fondo de un Afganistán respetuoso de sus ricas tradiciones ancestrales, la vida en Kabul durante el invierno de 1975 se desarrolla con toda la intensidad, la pujanza y el colorido de una ciudad confiada en su futuro e ignorante de que se avecina uno de los períodos más cruentos que...
										
									"
14,EL NOMBRE DEL VIENTO,"ROTHFUSS, PATRICK","8,25",Muy bueno,2.583,266,"Fantástica, ciencia ficción",PLAZA & JANÉS,2009,"En una posada en tierra de nadie, un hombre se dispone a relatar, por primera vez, la auténtica historia de su vida. Una historia que únicamente él conoce y que ha quedado diluida tras los rumores, las conjeturas y los cuentos de taberna que le han convertido en un personaje legendario a quien todos...
										
									"
15,EL SEÑOR DE LOS ANILLOS,"TOLKIEN, J.R.R. (John Ronald Reuel Tolkien)","8,23",Muy bueno,2.595,85,"Fantástica, ciencia ficción",MINOTAURO,2002,"Cuatro volúmenes en uno. Incluye los mapas y apéndices originales de J.R.R. Tolkien, y un índice de canciones, nombres de personajes, lugares y cosas. 50 ilustraciones en color de Alan Lee.
										
									"
16,CRIMEN Y CASTIGO,"DOSTOIEVSKII, FIODOR M. (Fiódor Dostoyevski)","8,23",Muy bueno,1.706,132,Clásicos de la literatura,DEBOLSILLO,(200,"Crimen y castigo (1866), considerada por la crítica como la primera obra maestra de Dostoievski, es un profundo análisis psicológico de su protagonista, el joven estudiante Raskolnikov, cuya firme creencia en que los fines humanitarios justifican la maldad le conduce al asesinato de un usurero peter...
										
									"
17,EL SEÑOR DE LOS ANILLOS I. La Comunidad del Anillo,"TOLKIEN, J.R.R. (John Ronald Reuel Tolkien)","8,17",Muy bueno,2.879,74,"Fantástica, ciencia ficción",MINOTAURO,2005,"En la adormecida e idílica Comarca, un joven hobbit recibe un encargo: custodiar el Anillo Único y emprender el viaje para su destrucción en las Grietas del Destino. Acompañado por magos, hombres, elfos y enanos, atravesará la Tierra Media y se internará en las sombras de Mordor, perseguido siempre...
										
									"
18,EL SEÑOR DE LOS ANILLOS II. Las Dos Torres,"TOLKIEN, J.R.R. (John Ronald Reuel Tolkien)","8,17",Muy bueno,2.646,43,"Fantástica, ciencia ficción",MINOTAURO,2006,"La Compañía se ha disuelto y sus integrantes emprenden caminos separados. Frodo y Sam continúan solos su viaje a lo largo del río Anduin, perseguidos por la sombra misteriosa de un ser extraño que también ambiciona la posesión del Anillo. Mientras, hombres, elfos y enanos se preparan para la batalla...
										
									"
19,CHOQUE DE REYES. (CANCIÓN DE HIELO Y FUEGO 2),"MARTIN, GEORGE R.R.","8,15",Muy bueno,2.292,79,"Fantástica, ciencia ficción",GIGAMESH,2006,"Un cometa del color de la sangre hiende el cielo cargado de malos augurios. Y hay razones sobradas para pensar así: los Siete Reinos se ven sacudidos por las luchas intestinas entre los nobles por la sucesión al Trono de Hierro. En la otra orilla del océano, la princesa Daenerys Targaryen conduce a...
										
									"
20,REBELIÓN EN LA GRANJA,"ORWELL, GEORGE","8,14",Muy bueno,2.644,184,Literatura contemporánea,DESTINO,2010,"Rebelión en la granja (1945) es un cuento satírico de George Orwell acerca de un grupo de animales en una granja que expulsan a los humanos y crean un sistema de gobierno propio que acaba convirtiéndose en una tiranía brutal. la novela fue escrita durante la segunda guerra mundial y , aunque fue pub...
										
									"
21,ORGULLO Y PREJUICIO,"AUSTEN, JANE","8,14",Muy bueno,1.761,158,"Romántica, erótica",ALBA,2009,"Con la llegada del rico y apuesto Mr. Darcy a su región, las vidas de los Bennet y sus cinco hijas se vuelven del revés. El orgullo y la distancia social, la astucia y la hipocresía, los malentendidos y los juicios apresurados abocan a sus personajes al escándalo y al dolor, pero también a la compre...
										
									"
22,ENSAYO SOBRE LA CEGUERA,"SARAMAGO, JOSÉ","8,12",Muy bueno,2.356,216,Literatura contemporánea,ALFAGUARA,2009,"Una ceguera blanca se expande de manera fulminante. Internados, en cuarentena o perdidos por la ciudad los ciegos deben enfrentarse a lo más primitivo de la especie humana: la voluntad de sobrevivir a cualquier precio. José Saramago, Premio Nobel de Literatura 1998, teje una aterradora parábola acer...
										
									"
23,HARRY POTTER Y LAS RELIQUIAS DE LA MUERTE,"ROWLING, JOANNE K.","8,11",Muy bueno,2.524,66,Infantil y juvenil,SALAMANDRA,2008,"Harry tiene que realizar una tarea siniestra, peligrosa y aparentemente imposible: el de localizar y de destruir a Horcruxes. Harry nunca se sintió tan sólo ni se enfrentó a un futuro tan incierto. Pero Harry debe encontrar la fuerza necesaria para terminar la tarea que le han dado. Él debe dejar el...
										
									"
24,CUENTOS,"POE, EDGAR ALLAN","8,06",Muy bueno,1.110,30,"Novela negra, intriga, terror",ESPASA,2007,"Edgar Allan Poe (1809-1849) fue uno de los fundadores de la ""literatura de género"", que incluye la ciencia ficción, la literatura de terror y la novela de misterio. En este volumen se han reunido catorce relatos de misterio que muestran la genialidad de uno de los principales narradores norteamerica...
										
									"
25,LOS PILARES DE LA TIERRA,"FOLLETT, KEN","8,04",Muy bueno,4.833,404,Histórica y aventuras,DEBOLSILLO,2021,"El gran maestro de la narrativa de acción y suspense nos transporta a la Edad Media, a un fascinante mundo de reyes, damas, caballeros, pugnas feudales, castillos y ciudades amuralladas. El amor y la muerte se entrecruzan vibrantemente en este magistral tapiz cuyo centro es la construcción de una ca...
										
									"
26,EL RESPLANDOR,"KING, STEPHEN","8,03",Muy bueno,1.054,1,"Novela negra, intriga, terror",DEBOLSILLO,2021,"REDRUM. Esa es la palabra que Danny había visto en el espejo. Y, aunque no sabía leer, entendió que era un mensaje de horror. Danny tenía cinco años, y a esa edad poco niños saben que los espejos invierten las imágenes y menos aún saben diferenciar entre realidad y fantasía. Pero Danny tenía pruebas...
										
									"
27,EL PRINCIPITO,"SAINT-EXUPERY, ANTOINE DE","8,02",Muy bueno,5.167,292,Clásicos de la literatura,SALAMANDRA,2008,"El valor de la amistad, el heroísmo como meta y la responsabilidad como motor de la conducta moral encuentran su plasmación definitiva en el mundo que descubre El principito , añorado planeta del que todos los hombres han sido exiliados y al que sólo mediante la fabulación cabe regresar.
										
									"
28,HAMLET,"SHAKESPEARE, WILLIAM","8,01",Muy bueno,1.445,47,Clásicos de la literatura,ESPASA,2006,"Hamlet, la obra más conocida de Shakespeare, es en realidad una pieza llena de lagunas e indefiniciones. Una obra enigmática y misteriosa, en la que cada personaje es un artista de la simulación. El propio Hamlet es un ser en continua transformación. En él caben la ceremoniosidad, la cortesía y la r...
										
									"
29,HARRY POTTER Y EL PRISIONERO DE AZKABAN,"ROWLING, JOANNE K.","7,99",Muy bueno,2.739,53,Infantil y juvenil,SALAMANDRA,2000,"Por la cicatriz que lleva en la frente, sabemos que Harry Potter no es un niño como los demás, sino el héroe que venció a lord Voldemort, el más temible y maligno mago de todos los tiempos y culpable de la muerte de los padres de Harry. Desde entonces, Harry no tiene más remedio que vivir con sus pe...
										
									"
30,DON QUIJOTE DE LA MANCHA,"CERVANTES, MIGUEL DE","7,98",Muy bueno,1.799,82,Clásicos de la literatura,ESPASA,2007,"Es una edición en dos tomos, con anotación totalmente nueva, realizada por Alberto Blecua, uno de los mejores especialistas en literatura del Siglo de Oro. El primer volumen cuenta también con una extensa Introducción que nos sitúa al autor y a la obra en su contexto histórico, ayudando a entender l...
										
									"
31,LOS RENGLONES TORCIDOS DE DIOS,"LUCA DE TENA, TORCUATO","7,97",Muy bueno,2.720,248,Narrativa,PLANETA,2009,"Alice, investigadora privada, ingresa en un hospital psiquiátrico, simulando una paranoia, a fin de recabar pruebas del caso en el que trabaja. La realidad a la que se enfrentará en su encierro superará sus expectativas. Un mundo desconocido y apasionante se mostrará ante sus ojos. El curso que toma...
										
									"
32,IT (ESO),"KING, STEPHEN","7,95",Muy bueno,1.033,128,"Novela negra, intriga, terror",DEBOLSILLO,2016,"¿Quién o qué mutila y mata a los niños de un pequeño pueblo norteamericano? ¿Por qué llega cíclicamente el horror a Derry en forma de un payaso siniestro que va sembrando la destrucción a su paso? Esto es lo que se proponen averiguar los protagonistas de esta novela. Tras veintisiete años de tranqui...
										
									"
33,EL JUEGO DE ENDER,"CARD, ORSON SCOTT","7,94",Muy bueno,1.225,91,"Fantástica, ciencia ficción",ZETA BOLSILLO,2009,"La Tierra se ve amenazada por la especie extraterrestre delos Insectores, seres que se comunican telepáticamente y que se consideran totalmente distintos de los humanos, a los que quieren destruir. Para vencerlos, la humanidad necesita de un genio militar, y por ello se permite el nacimiento de Ende...
										
									"
